,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,Decidua,SI,SI,SI,SI,SI,SI,SI,SI,LI,LI,LI,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,SIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,LIMeconium,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi,Villi
?-Muricholic Acid,22.54000148,21.66921582,21.14960135,21.19008526,26.44023165,21.06168122,22.138223,22.79747593,30.89431764,26.16221532,21.91869022,21.26394829,20.62785157,20.13741515,22.17425751,21.99585615,21.36842687,21.78734689,24.44618029,22.06495136,22.62300935,21.53403702,22.18745047,20.46367918,24.36680875,20.46646877,21.28833649,20.10338322,26.17053244,20.44547639,20.78968948,20.37559698,21.06168122,22.1060993,21.24654555,20.10338322,20.42746251,21.46286031,20.16650914,19.80647831,21.719512,21.74386685,20.23391852,20.95190822,19.98313466,20.68524487,26.04263399,23.31612196,21.52588026
.beta.-Butoxyethyl phthalate,19.68521118,19.28754296,19.14520045,19.73232345,18.75233465,18.43860535,18.32666502,19.79927029,17.18787476,17.88770393,20.68524487,21.58609601,17.46450903,22.28066419,16.82471722,20.75393909,18.75233465,18.46756101,17.96967408,21.88311034,21.50662042,22.78514558,21.52588026,22.50974422,19.1649117,22.27582948,21.9381996,23.375652,16.98727259,23.1264621,17.7408314,22.61777515,16.46384267,22.15883521,16.62621856,21.95506907,21.91373123,17.14905823,22.90432744,18.45945617,17.92003369,18.12008723,22.8506797,18.97943881,17.93947388,21.39261542,18.85586011,18.25426138,20.2255217
(-)-Abietic acid,19.41243217,20.07443299,18.0251126,20.17597135,19.66219949,22.35295349,19.55717778,21.31039992,16.61421034,20.51056627,21.68274927,19.11703062,19.95037438,17.00690444,19.98313466,17.69573562,22.17773198,19.09962531,18.85323068,17.55515999,18.83066014,17.56593314,19.69677581,19.71389391,20.46964147,18.72044379,16.03441211,18.63665559,17.2621727,20.4147303,16.38266594,16.85329653,18.32953292,16.14449153,15.98003614,16.68599917,18.35852052,20.15745835,19.33805587,20.32226693,20.24021641,19.78882745,20.85996667,21.66921582,20.33698901,19.76438594,19.92748851,19.31314501,22.60952895
(-)-Citronellol,17.23210299,16.30747369,17.71497589,17.55515999,16.82471722,17.19724652,16.64937757,19.98579403,21.07990362,16.06502575,17.2621727,22.20417347,20.207233,20.75393909,18.72544333,17.54194301,16.47287591,17.38529728,17.50728122,18.79865474,19.68091477,19.24129338,18.64155901,20.52026861,18.55497104,19.58150621,19.4837731,20.86728114,23.03688761,21.08982498,23.26213743,20.65782028,20.03102078,20.05713442,20.57158732,19.71927783,19.17477854,19.34858778,20.72772655,23.3421907,23.1264621,16.73433544,20.86369081,16.70805496,23.95358906,23.30008516,16.81770313,16.67325509,18.95379564
(-)-Febrifugine,20.25507137,20.00661611,22.14555679,19.59301375,20.70571591,20.03694708,20.75393909,20.49809139,23.19280034,20.37559698,21.66222644,19.49299813,19.39348584,21.38144993,21.44294535,18.85586011,19.28276816,18.8195583,21.30698018,18.34745214,18.43860535,18.88700033,19.13900623,18.94541958,18.40828873,18.8589553,18.76026689,19.32215244,20.07443299,19.20335547,22.63974153,23.41393176,23.87989503,19.91132886,24.00008528,21.80634786,18.45415147,19.3463999,19.74586458,20.24021641,19.97090692,19.71389391,20.03354528,20.64761908,20.21680822,19.75769939,20.03102078,20.10987628,19.17477854
(-)-MenthylO-beta-D-glucoside,17.82759008,17.82759008,17.74566761,17.88770393,17.72900913,17.86227782,17.90289844,17.5323397,16.22831287,17.587222,16.88772751,21.61177245,16.32065901,20.15745835,16.32065901,16.82471722,17.57500478,17.19724652,18.71709598,19.31625266,18.77754997,19.95977436,19.1649117,20.50253621,18.93805638,19.50008386,18.99564301,20.19740124,17.49111498,21.57672972,17.23210299,20.90841347,16.24997991,19.42823678,16.96603488,19.8106568,19.47756675,17.69573562,21.22763907,17.87633065,17.73328149,17.63211972,21.23975956,17.89867001,16.85995242,21.22471281,17.72900913,17.62105985,17.72900913
(-)-Rhododendrin,28.46922324,28.31720514,28.24483876,28.43872693,28.76537461,28.16823203,28.46922324,27.61543964,26.12678557,28.10016479,27.07572265,25.83326892,26.97278663,25.70317962,27.40349007,27.65320017,28.86527009,27.78280072,28.50689921,28.24483876,27.49177883,26.68494124,27.01600091,27.75970188,26.04263399,27.54202948,26.76654945,27.35222735,28.62383612,27.6719523,27.75970188,28.73179662,27.00203985,27.49177883,27.35222735,27.21443881,27.33303631,27.87581532,27.63373471,27.31996137,26.61837431,27.73880991,28.03406485,28.99796079,26.5799689,27.49177883,28.08192671,27.73880991,27.716681
"({(Z)-[(5alpha,6Z)-3-Methoxy-17-methyl-4,5-epoxymorphinan-6-ylidene]amino}oxy)acetic acid",18.4986747,17.30146525,18.91232771,20.04754227,17.86227782,17.47663424,18.64155901,17.96967408,20.70571591,18.32268265,17.75362341,16.46384267,18.13948153,17.11420103,17.99140645,18.14272374,18.25426138,17.40715139,17.15852443,17.83775722,16.97165051,16.73433544,16.8462812,16.90025714,16.48124134,17.41496535,16.80232141,17.79230259,17.67634187,17.14425742,18.6207582,17.23210299,16.94457034,17.75362341,17.19724652,16.75602865,17.07893078,18.85020683,17.5002452,18.91888563,17.5508111,19.21673828,18.88700033,18.11364533,17.05379932,18.24645643,18.43237075,17.0114489,17.62835802
(+)-10-Deoxymethynolide,18.48910652,18.50154143,18.53389434,18.63414877,18.41630471,18.56236906,18.57138462,18.73079944,21.61604344,18.43237075,18.65533778,20.14470716,17.88770393,18.97702077,17.58333032,17.97781095,18.08620356,18.78530609,18.05404651,18.36070983,18.57784571,18.49615246,17.32439781,18.56579343,19.73232345,18.7397156,18.60611722,19.33805587,23.5959729,19.52822263,24.15239641,18.71709598,17.98086299,17.89530754,22.36269235,18.68810485,18.32953292,18.12719803,19.59017442,23.83691229,23.95358906,18.39698958,20.17597135,18.24963432,24.28197104,22.08166386,18.52231422,18.36374324,18.16617694
(+)-Bornane-2_5-dione,21.06555021,21.27549855,21.7735357,20.73051014,20.67274039,20.7828544,18.53642251,21.719512,18.43496123,20.31389302,17.35407047,21.46286031,18.46317678,20.24021641,19.35557786,18.75804222,19.72966951,20.09147817,19.92986506,20.04754227,20.02475847,20.04050246,19.94724689,20.15745835,18.73079944,20.74774706,17.60762338,20.80402153,21.17896116,21.82774928,21.38891457,21.08626841,19.43491046,19.77695333,20.37845754,20.39764461,20.14470716,17.87302259,21.21762563,22.18100829,21.48709735,20.75085609,21.37503973,18.46317678,22.22739285,21.42204329,21.04305166,18.22474612,21.58033325
(+)-cassaine,20.28736913,20.28736913,20.2011406,20.19740124,20.1258604,20.4086241,20.37559698,20.16977965,23.05612607,19.84861692,19.80647831,19.61028461,21.73388793,19.30157261,20.51769509,19.95342813,19.78589106,19.352168,20.87198143,21.30313683,20.14470716,22.60952895,20.21680822,20.10012988,21.73890005,19.89416423,23.70264002,19.90795692,22.17425751,18.93114373,21.74386685,19.58674376,23.08116289,23.51951102,23.64521859,23.25656227,19.69677581,21.42867412,19.67055857,22.1060993,20.61047665,19.8027808,19.68748146,20.43793796,22.30524771,20.76936942,20.24412436,20.0506183,20.01851254
(+)-N-Methylconiine,22.65159828,22.17773198,21.90894743,23.40780598,21.10754602,20.75085609,22.31162684,19.6492386,20.87864781,21.16725287,21.6510226,20.49469512,19.89742488,18.59615961,19.85779911,20.24677112,21.47253348,20.46964147,21.68734969,17.56593314,19.41243217,18.79063698,19.61277583,21.11255318,18.58428641,20.53788905,18.77754997,17.80023817,20.75708123,19.67055857,20.85211788,19.08278227,19.00543869,19.97090692,17.66365571,19.27132956,19.73232345,21.60209222,19.72689356,21.00058098,19.89416423,21.76124194,19.4148682,19.50008386,20.36194842,20.29695382,22.40420873,20.52026861,21.99197159
(+)-Prosopinine,23.6679475,23.68751871,23.77506179,23.52799161,23.27219568,23.80064342,23.35104295,26.09680821,25.99068941,22.90432744,22.40420873,21.81384516,21.90894743,21.48349668,21.75469104,24.13937376,25.37984386,22.74241884,24.67464562,21.27987001,20.80013616,20.82336587,20.62455618,21.84997816,20.59820169,21.6590801,20.80692788,21.64268154,22.27582948,21.79499563,21.98401075,22.12252702,20.70338482,20.82713602,21.03885373,21.40694588,21.03885373,22.96644128,22.79237362,22.40751779,22.08520802,23.55134578,22.85948919,24.77467319,22.99557495,22.07076089,23.53767383,23.57781393,23.68751871
(+)-Simvastatin,17.201546,16.97165051,17.05921329,17.29175832,17.96713966,17.07038523,17.20732797,17.56593314,18.64475698,16.83891151,17.43227629,17.59394668,17.04818262,17.84339083,17.60164693,17.18787476,17.55515999,16.61911523,16.14449153,16.54223854,17.37678443,17.94968409,17.36679433,16.35000424,19.3072841,16.35000424,18.12008723,17.29715551,16.24997991,16.35000424,17.35407047,16.23758414,17.52349157,17.32977035,18.51888224,16.55928305,16.71458531,16.89371416,16.69347227,16.32065901,16.55114245,17.04818262,16.67843926,17.44435243,16.44153687,16.42408969,17.07038523,16.93407165,17.59845588
(+/-)-Methoprene,20.03354528,20.17277129,20.0506183,19.86830175,20.14097416,19.90025851,19.77391554,20.30002427,22.96644128,19.67427323,21.18274296,18.51159229,18.79865474,18.2025533,18.74906059,20.68863753,21.20269339,20.10728404,20.30616741,17.93947388,17.57832279,17.30691271,17.72230512,18.45660369,17.72559858,18.29582234,17.63211972,18.09908467,18.55761038,20.47502238,19.31002904,18.50154143,18.16953246,17.63211972,17.9559103,18.08620356,17.98848314,20.27250617,18.83377771,19.19967302,18.8074101,20.26615139,19.28039795,20.43476427,18.99564301,18.90016852,20.24021641,19.88446374,20.73368604
(+/-)12(13)-DiHOME,23.76527801,23.45973838,22.60952895,23.286819,24.77982482,23.54267965,23.57056236,24.41041472,22.76084022,25.24303342,23.24596275,20.75393909,23.375652,20.55473575,23.63457514,24.20516601,24.15729476,24.05670121,23.56499626,20.6041039,19.95977436,19.84861692,20.25507137,22.06495136,21.07728719,21.01230561,20.2255217,20.74036671,24.07168507,20.61047665,21.32560623,21.63995851,20.43476427,21.03403109,19.5540773,19.91132886,20.74774706,23.68751871,23.35104295,22.86881111,23.24148822,23.41868716,21.98754661,24.14591475,21.88719318,22.17425751,24.59854624,24.04517374,24.37178648
(±)11-HETE,22.3076818,22.6881991,21.47545656,22.30524771,22.67579964,23.10052882,22.3076818,22.9853815,18.8903772,25.37382923,23.77506179,20.10012988,23.3421907,19.08278227,23.97882627,24.31812916,25.08171538,25.37382923,24.73845589,19.65155401,19.81932641,18.60942461,19.27473554,22.95207912,19.723998,20.49809139,19.352168,20.24947682,19.77061125,20.33698901,17.37139599,18.22891206,17.87633065,18.7397156,17.28798591,16.45262163,20.65782028,22.43227435,22.0895859,21.54698849,21.7647497,23.286819,21.7236974,23.69829563,22.37787746,21.73388793,23.56499626,23.06265428,23.3870803
(±)13-HODE,22.08520802,20.59820169,22.71149715,22.48414125,22.87426948,22.79747593,21.19008526,21.70578351,22.49219522,22.08520802,20.04754227,19.88853788,20.2011406,19.19242154,20.71615173,22.34445384,22.66436947,22.16589113,20.81477859,19.33497247,20.88614014,20.34025835,19.43491046,20.6041039,22.79747593,19.6492386,19.31625266,19.67819402,21.01953154,19.09962531,19.42199433,20.16977965,17.22872061,18.65848941,18.1161608,16.93407165,20.01434391,20.0506183,21.68274927,20.90841347,21.36842687,21.53803598,21.01520482,23.18029113,20.93072092,20.71030776,21.20269339,21.5186352,23.04090139
(±)8-HEPE,20.75708123,20.9600244,21.35295862,20.50586475,20.59027618,22.24310025,20.76393,21.38144993,19.05305769,24.49370149,24.2553129,20.85996667,25.88734383,21.87566525,24.32406476,24.89103408,24.08233243,24.99108545,24.12342604,24.54043888,23.30008516,26.13555035,22.66436947,20.78560742,23.8213603,22.94307051,26.38700256,22.8048717,21.96026547,22.68248467,23.63060478,21.06168122,26.5476744,25.83326892,27.17378214,25.56713387,24.18127723,24.85982497,21.66222644,19.14159056,20.2108308,20.56088522,19.36522964,21.58033325,20.10728404,19.0886835,21.90152195,22.15085121,21.86433775
(−)-Riboflavin,25.99068941,25.8609503,26.10481805,25.70317962,25.40821954,25.81591,25.94105524,25.88734383,24.16255248,26.24203963,25.83326892,25.12766351,25.40063273,24.0762045,26.11418082,26.38700256,26.7082757,26.42000989,26.01346302,25.75693058,25.76617477,24.60613778,25.70317962,25.84803208,24.49972443,25.52156581,25.18119984,24.70409886,24.95451828,25.81591,23.95358906,25.41677605,24.44068063,24.11802844,22.06495136,24.57219113,25.73205706,25.49579957,25.94746355,24.94744898,25.32919766,26.55955138,25.67444491,26.21247116,24.40460487,24.9979226,26.12678557,26.12678557,26.49869416
(−)-trans-Methyl dihydrojasmonate,19.69408082,19.72689356,19.352168,19.75067326,19.64552093,19.53070916,19.78589106,19.71927783,21.56648151,19.33497247,19.36207929,17.96967408,18.59615961,17.38942294,18.47303893,19.5193389,19.42823678,19.64552093,19.31002904,17.41496535,17.43638867,17.05921329,17.33438111,18.3133069,17.17003625,17.78060391,17.14425742,17.6111505,18.32268265,19.13220894,18.03248805,17.9998505,17.14004639,17.25074061,16.70805496,17.23734345,17.57500478,18.48910652,18.70231682,19.352168,18.52676426,19.55141308,18.85323068,19.89416423,19.70570019,19.09962531,20.93436377,20.62455618,20.74774706
